threshold,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
0.0,0.5745532662825896,1.0,0.7297984496124031,0.6279883879781422,0.5745532662825896,0.0,0.5,5884,4357,0,0
0.01,0.5745532662825896,1.0,0.7297984496124031,0.6279883879781422,0.5745532662825896,0.0,0.5,5884,4357,0,0
0.02,0.5748339194998046,1.0,0.7300248138957816,0.6282565986162125,0.5750414998535299,0.0011475786091347257,0.5005737893045674,5884,4352,0,5
0.03,0.6662801484230055,0.9765465669612509,0.7921146953405017,0.7114908370480435,0.7054975100087882,0.33945375258205185,0.6580001597716514,5746,2878,138,1479
0.04,0.787059175134489,0.8951393609789259,0.8376272264631043,0.8065355874065907,0.800605409627966,0.6729400963966031,0.7840397286877645,5267,1425,617,2932
0.05,0.8104813172894236,0.869986403806934,0.8391803278688524,0.8217221009374598,0.8084171467630115,0.7252696809731467,0.7976280423900404,5119,1197,765,3160
0.06,0.8218954248366013,0.8548606390210741,0.838053982005998,0.8282834936108548,0.8101747876183967,0.7498278632086298,0.802344251114852,5030,1090,854,3267
0.07,0.8262606090863704,0.8438137321549966,0.8349449255864794,0.8297125668449198,0.8083195000488234,0.7603855864126693,0.802099659283833,4965,1044,919,3313
0.08,0.8305457002872106,0.8354860639021074,0.8330085571464882,0.831529093369418,0.8075383263353189,0.769795731007574,0.8026408974548407,4916,1003,968,3354
0.09,0.8334756618274979,0.8293677770224337,0.8314166453701338,0.8326508326508326,0.8067571526218142,0.7762221712187285,0.8027949741205811,4880,975,1004,3382
0.1,0.8364606644861422,0.8257987763426241,0.8310955272385188,0.8343063186813187,0.8071477394785666,0.7819600642644021,0.8038794203035131,4859,950,1025,3407
0.11,0.8397780475117045,0.8230795377294358,0.8313449489314222,0.8363843603205305,0.8081242066204473,0.7879274730319027,0.8055035053806692,4843,924,1041,3433
0.12,0.8421419849991278,0.8205302515295717,0.8311956615305157,0.837729039422543,0.8085147934771995,0.7922882717466146,0.8064092616380931,4828,905,1056,3452
0.13,0.8443976115208992,0.8171312032630863,0.8305406806011402,0.8387997208653175,0.8084171467630115,0.7966490704613266,0.8068901368622065,4808,886,1076,3471
0.14,0.84654776620166,0.8147518694765465,0.8303455442972201,0.8399915895710682,0.8087100869055757,0.8005508377323847,0.8076513536044656,4794,869,1090,3488
0.15,0.8481619605753863,0.8116927260367097,0.8295267042987408,0.8406082793579274,0.8083195000488234,0.8037640578379619,0.8077283919373358,4776,855,1108,3502
0.16,0.8492417484388939,0.8089734874235214,0.8286186787361824,0.8408705483323913,0.807733619763695,0.8060592150562313,0.8075163512398764,4760,845,1124,3512
0.17,0.8502328914367611,0.8065941536369816,0.8278388278388277,0.841131433432582,0.8072453861927547,0.8081248565526739,0.8073595050948277,4746,836,1138,3521
0.18,0.851951789890268,0.8048946295037389,0.8277549593638031,0.8421052631578947,0.8075383263353189,0.8111085609364241,0.8080015952200815,4736,823,1148,3534
0.19,0.852988983203901,0.8026852481305234,0.8270729358199808,0.8424300799086759,0.8071477394785666,0.8131742024328666,0.807929725281695,4723,814,1161,3543
0.2,0.8536011581614188,0.8016655336505778,0.8268185801928133,0.8426825782478206,0.8070500927643784,0.8143217810420014,0.8079936573462896,4717,809,1167,3548
0.21,0.8545520493289808,0.8008157715839564,0.8268117213546237,0.8432355046528275,0.8072453861927547,0.81592839109479,0.8083720813393732,4712,802,1172,3555
0.22,0.8546511627906976,0.7994561522773623,0.8261327713382508,0.8430107526881722,0.8066595059076263,0.8163874225384439,0.8079217874079031,4704,800,1180,3557
0.23,0.8548034934497817,0.7984364377974167,0.825659050966608,0.8429022534806947,0.806268919050874,0.8168464539820978,0.8076414458897572,4698,798,1186,3559
0.24,0.8553183725597518,0.796736913664174,0.8249890013198415,0.8429228998849253,0.8057806854799336,0.8179940325912325,0.8073654731277032,4688,793,1196,3564
0.25,0.8554987212276215,0.7958871515975526,0.8246170100369783,0.8428725701943846,0.8054877453373694,0.8184530640348864,0.8071701078162195,4683,791,1201,3566
0.26,0.8564365500824025,0.7948674371176071,0.824504186866461,0.843371321407963,0.8055853920515574,0.820059674087675,0.807463555602641,4677,784,1207,3573
0.27,0.8566183220121167,0.7929979605710401,0.8235813255670285,0.8430904885805146,0.8048042183380529,0.8207482212531558,0.806873090912098,4666,781,1218,3576
0.28,0.8568014705882353,0.7921481985044188,0.8232073472271282,0.8430400810302418,0.8045112781954887,0.8212072526968097,0.8066777256006142,4661,779,1223,3578
0.29,0.8570377184912603,0.791638341264446,0.8230409046735577,0.8431074428033593,0.8044136314813006,0.8216662841404636,0.8066523127024547,4658,777,1226,3580
0.3,0.857643370827955,0.790448674371176,0.8226762182718669,0.8433057731360604,0.8042183380529245,0.8228138627495983,0.8066312685603871,4651,772,1233,3585
0.31,0.8576440177252584,0.7894289598912304,0.8221238938053098,0.8430739073616959,0.8037301044819842,0.8230433784714253,0.8062361691813278,4645,771,1239,3586
0.32,0.8577235772357723,0.7889191026512576,0.8218838526912181,0.8430190323986633,0.803534811053608,0.8232728941932522,0.8060959984222549,4642,770,1242,3587
0.33,0.8577514354510094,0.7870496261046906,0.8208809713728618,0.8426128093158659,0.8026559906259154,0.8237319256369061,0.8053907758707983,4631,768,1253,3589
0.34,0.8578049684835002,0.7863698164513936,0.8205355559496365,0.8424981791697014,0.8023630504833512,0.8239614413587331,0.8051656289050633,4627,767,1257,3590
0.35000000000000003,0.8578586008535907,0.7856900067980965,0.8201898341169166,0.8423833819241983,0.802070110340787,0.82419095708056,0.8049404819393282,4623,766,1261,3591
0.36,0.8582838038632986,0.785350101971448,0.8201987930422434,0.8426331145149525,0.8021677570549751,0.8248795042460408,0.8051148031087444,4621,763,1263,3594
0.37,0.8586046511627907,0.7843303874915024,0.8197886135536016,0.8426453403447268,0.8018748169124109,0.8255680514115217,0.804949219451512,4615,760,1269,3597
0.38,0.8589791356184798,0.7836505778382054,0.8195876288659794,0.8427767217429449,0.8017771701982228,0.8262565985770025,0.804953588207604,4611,757,1273,3600
0.39,0.8594362516333769,0.7824609109449354,0.8191442042522908,0.8428529584065613,0.8014842300556586,0.8271746614643103,0.8048177862046229,4604,753,1280,3604
0.4,0.8595442659693687,0.7821210061182868,0.8190069407367859,0.8428571428571429,0.8013865833414705,0.8274041771861372,0.8047625916522121,4602,752,1282,3605
0.41000000000000003,0.8599476439790575,0.7816111488783141,0.8189102564102564,0.8430488341399032,0.8013865833414705,0.8280927243516181,0.804851936614966,4599,749,1285,3608
0.42,0.8602170658682635,0.7812712440516655,0.8188457427858924,0.8431768158473955,0.8013865833414705,0.828551755795272,0.8049114999234688,4597,747,1287,3610
0.43,0.8601949025487257,0.7800815771583957,0.8181818181818183,0.8428823270163066,0.8008007030563421,0.8287812715170989,0.8044314243377473,4590,746,1294,3611
0.44,0.8605480480480481,0.7792318150917743,0.8178737067427756,0.8429548463009267,0.800605409627966,0.8294698186825797,0.804350816887177,4585,743,1299,3614
0.45,0.8608761045309269,0.7782121006118287,0.8174596090332947,0.8429675994108984,0.8003124694854018,0.8301583658480606,0.8041852332299446,4579,740,1305,3617
0.46,0.8614718614718615,0.7778721957851802,0.8175404126105208,0.8433446344339623,0.8005077629137779,0.8310764287353684,0.8044743122602742,4577,736,1307,3621
0.47000000000000003,0.8613152440173356,0.7768524813052345,0.8169064426771513,0.8429846562407791,0.7999218826286495,0.8310764287353684,0.8039644550203014,4571,736,1313,3621
0.48,0.8615094339622642,0.7760027192386132,0.8165236051502146,0.8429330970314578,0.7996289424860853,0.8315354601790222,0.8037690897088177,4566,734,1318,3623
0.49,0.8620819950878519,0.7754928619986404,0.8164981658763533,0.8432510348905972,0.7997265892002734,0.83245352306633,0.8039731925324852,4563,730,1321,3627
0.5,0.8622188622188622,0.7753229095853161,0.8164653243847875,0.8433155871044069,0.7997265892002734,0.832683038788157,0.8040029741867365,4562,729,1322,3628
0.51,0.8621406959152799,0.7748130523453433,0.8161475116362333,0.843135079153721,0.7994336490577092,0.832683038788157,0.8037480455667501,4559,729,1325,3628
0.52,0.8624148372445117,0.7744731475186948,0.8160816618911174,0.8432642487046631,0.7994336490577092,0.8331420702318109,0.8038076088752528,4557,727,1327,3630
0.53,0.8624739534002652,0.7737933378653977,0.8157305383857387,0.8431481481481481,0.799140708915145,0.8333715859536378,0.8035824619095178,4553,726,1331,3631
0.54,0.8625852918877938,0.7734534330387491,0.8155913978494623,0.8431525122276566,0.7990430622009569,0.8336011016754648,0.803527267357107,4551,725,1333,3632
0.55,0.862670713201821,0.7729435757987764,0.8153460021513087,0.8430965445647338,0.7988477687725808,0.8338306173972917,0.8033870965980341,4548,724,1336,3633
0.56,0.8626446594574084,0.7727736233854521,0.8152398027790227,0.8430361910412341,0.7987501220583927,0.8338306173972917,0.8033021203913719,4547,724,1337,3633
0.5700000000000001,0.8632478632478633,0.7724337185588035,0.8153197596196968,0.8434159738717341,0.7989454154867689,0.8347486802845995,0.8035911994217015,4545,720,1339,3637
0.58,0.863524044858392,0.772093813732155,0.8152534768954689,0.8435457516339869,0.7989454154867689,0.8352077117282534,0.8036507627302042,4543,718,1341,3639
0.59,0.8642421934501142,0.771414004078858,0.8151939655172413,0.8439312806782687,0.7990430622009569,0.8363552903373881,0.803884647208123,4539,713,1345,3644
0.6,0.8645198170731707,0.7710740992522094,0.8151275601868487,0.8440616163119511,0.7990430622009569,0.836814321781042,0.8039442105166257,4537,711,1347,3646
0.61,0.8644939965694682,0.7709041468388851,0.8150211122091455,0.8440011908306043,0.7989454154867689,0.836814321781042,0.8038592343099635,4536,711,1348,3646
0.62,0.864746280045784,0.7703942895989123,0.8148481035412547,0.8440712051243855,0.7988477687725808,0.8372733532246959,0.8038338214118042,4533,709,1351,3648
0.63,0.8645912910618793,0.7693745751189667,0.8142086330935252,0.843708066199493,0.7982618884874524,0.8372733532246959,0.8033239641718313,4527,709,1357,3648
0.64,0.8646788990825688,0.7688647178789939,0.8139618567830155,0.8436520960763836,0.7980665950590763,0.8375028689465228,0.8031837934127584,4524,708,1360,3649
0.65,0.8649837445018168,0.7686947654656696,0.8140016197246469,0.8438432835820896,0.7981642417732643,0.8379619003901767,0.8033283329279232,4523,706,1361,3651
0.66,0.8651857525852163,0.7678450033990483,0.8136142625607778,0.8437920215150156,0.7978713016307001,0.8384209318338306,0.8031329676164394,4518,704,1366,3653
