threshold,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
0.0,0.567913289717801,1.0,0.7244192563990782,0.6216331765711842,0.567913289717801,0.0,0.5,29080,22125,0,0
0.01,0.56796875,1.0,0.72446437468859,0.6216863348725842,0.5680109364319891,0.00022598870056497175,0.5001129943502824,29080,22120,0,5
0.02,0.5687962129807128,0.9999312242090784,0.7251190743372984,0.6224739690368544,0.5694561078019724,0.003661016949152542,0.5017961205791155,29078,22044,2,81
0.03,0.6712400056772484,0.9757909215955983,0.7953583541217031,0.7159292749878895,0.7148325358851675,0.3718418079096045,0.6738163647526014,28376,13898,704,8227
0.04,0.7783381292829809,0.9022352132049518,0.8357196324196915,0.8003184557944314,0.7985548286300166,0.6622824858757063,0.7822588495403291,26237,7472,2843,14653
0.05,0.7989041953663119,0.8774759284731775,0.8363487381186496,0.8134723284876307,0.8049799824235915,0.7096949152542373,0.7935854218637074,25517,6423,3563,15702
0.06,0.8099272047928879,0.8646836313617606,0.8364102052356717,0.8203165779308904,0.8079093838492335,0.7332881355932204,0.7989858834774906,25145,5901,3935,16224
0.07,0.8165053322395406,0.8556740027510317,0.835630929392998,0.8240495429858258,0.8088272629626013,0.7472542372881356,0.8014641200195836,24883,5592,4197,16533
0.08,0.821379838253403,0.8486932599724897,0.8348131987078661,0.8267009673875177,0.8092569085050288,0.7574237288135593,0.8030584943930246,24680,5367,4400,16758
0.09,0.8251101469747418,0.8436382393397525,0.8342713345688879,0.8287503715914926,0.809647495361781,0.7649717514124293,0.8043049953760909,24533,5200,4547,16925
0.1,0.8283678316932473,0.8394773039889959,0.8338855678906917,0.8305661404463799,0.8100576115613709,0.7713898305084745,0.8054335672487352,24412,5058,4668,17067
0.11,0.8305032628378147,0.8359009628610728,0.8331933709232376,0.8315772188620378,0.8099209061615077,0.775774011299435,0.8058374870802539,24308,4961,4772,17164
0.12,0.8332358305516363,0.8326341127922972,0.8329348630007396,0.833115417435107,0.8103114930182599,0.7809717514124294,0.8068029321023633,24213,4846,4867,17279
0.13,0.8354294425388906,0.8291953232462174,0.8323007093177778,0.834175130766889,0.8102333756469094,0.7853107344632768,0.807253028854747,24113,4750,4967,17375
0.14,0.8370530274015529,0.8267193947730399,0.8318541201709313,0.834965685865911,0.8101943169612342,0.7884745762711864,0.8075969855221132,24041,4680,5039,17445
0.15,0.8388688622125783,0.8242434662998624,0.8314918564515289,0.8359024077225679,0.8102724343325847,0.791909604519774,0.8080765354098183,23969,4604,5111,17521
0.16,0.8404105736782902,0.8221458046767538,0.831177861215408,0.8366929839296714,0.8103310223610976,0.7948022598870057,0.8084740322818798,23908,4540,5172,17585
0.17,0.8416740243687092,0.8195323246217332,0.830455614600575,0.8371504847548126,0.8099599648471829,0.7973785310734464,0.8084554278475897,23832,4483,5248,17642
0.18,0.8429488316017163,0.8174690508940853,0.8300134425027496,0.8377265935552988,0.8098427887901573,0.7998192090395481,0.8086441299668167,23772,4429,5308,17696
0.19,0.8441563067716311,0.8149243466299863,0.8292828023025912,0.8381433381433382,0.809452201933405,0.8022598870056498,0.8085921168178181,23698,4375,5382,17750
0.2,0.8450593450593451,0.8128610729023383,0.8286475496038701,0.838417229442143,0.8090811444194903,0.8041129943502825,0.8084870336263104,23638,4334,5442,17791
0.21,0.8460518298146887,0.8116918844566713,0.8285157689675144,0.8389490744689926,0.8091787911336783,0.8058757062146893,0.8087837953356802,23604,4295,5476,17830
0.22,0.8469229939215193,0.8097317744154058,0.82790992036285,0.8392139252416388,0.8088272629626013,0.8076384180790961,0.8086850962472509,23547,4256,5533,17869
0.23,0.8478535581470917,0.8075309491059147,0.8272011553974321,0.8394700717819659,0.8083976174201738,0.8095367231638418,0.8085338361348783,23483,4214,5597,17911
0.24,0.8486351458981971,0.8060866574965612,0.8268138689993298,0.8397698612862549,0.8082218533346353,0.8110282485875706,0.8085574530420658,23441,4181,5639,17944
0.25,0.8495607347709286,0.8047455295735901,0.8265461095609791,0.8402027803308824,0.80818279464896,0.8127005649717514,0.8087230472726707,23402,4144,5678,17981
0.26,0.8503113960010198,0.8028541953232462,0.8259016219466897,0.8403763642122845,0.8077726784493702,0.8142372881355933,0.8085457417294197,23347,4110,5733,18015
0.27,0.8509620650626164,0.8014786795048143,0.8254794666099985,0.8405825326754955,0.8075383263353189,0.815502824858757,0.8084907521817857,23307,4082,5773,18043
0.28,0.8512569065827509,0.8,0.8248329167331454,0.8404867192693432,0.8070305634215409,0.816271186440678,0.808135593220339,23264,4065,5816,18060
0.29,0.8517418408507518,0.7987276478679505,0.8243833185448094,0.8405833815865662,0.8067376232789767,0.8172655367231638,0.8079965922955572,23227,4043,5853,18082
0.3,0.8520329387545034,0.7970082530949106,0.8236025727586085,0.8404284636806683,0.8061126843081731,0.8180790960451978,0.8075436745700542,23177,4025,5903,18100
0.31,0.8526269250607914,0.7958046767537826,0.8232364554800611,0.8406224572823433,0.8059173908797969,0.8192090395480226,0.8075068581509026,23142,4000,5938,18125
0.32,0.853109429784093,0.7948762035763411,0.8229639519359145,0.8407900480139677,0.8057806854799336,0.8201129943502825,0.8074945989633118,23115,3980,5965,18145
0.33,0.8537812638745005,0.79353507565337,0.8225564981820774,0.8410111376756662,0.8055658627087199,0.8213785310734464,0.8074568033634082,23076,3952,6004,18173
0.34,0.8541543026706232,0.7918844566712517,0.8218415417558886,0.8409290096406662,0.8050190411092667,0.8222824858757062,0.8070834712734789,23028,3932,6052,18193
0.35000000000000003,0.8545887075790805,0.7906121045392022,0.8213564832181197,0.8409782576888186,0.8046870422810273,0.8231864406779661,0.8068992726085842,22991,3912,6089,18213
0.36,0.8550837988826816,0.7895116918844567,0.8209905238691222,0.8411122508792498,0.8044722195098135,0.824135593220339,0.8068236425523978,22959,3891,6121,18234
0.37,0.855277881387542,0.7885144429160935,0.8205403471103955,0.8410357981220659,0.8041206913387364,0.824632768361582,0.8065736056388377,22930,3880,6150,18245
0.38,0.8553865700085946,0.7871733149931224,0.8198635411256961,0.8408142575886692,0.8035543403964457,0.8250847457627118,0.8061290303779172,22891,3870,6189,18255
0.39,0.8556079664570231,0.7859353507565336,0.8192930886148552,0.8407024306986051,0.8031051655111805,0.8256723163841808,0.8058038335703572,22855,3857,6225,18268
0.4,0.8559477810706381,0.7846286107290233,0.8187380016864918,0.840665251864297,0.8026950493115906,0.8264406779661017,0.8055346443475625,22817,3840,6263,18285
0.41000000000000003,0.8565522943365027,0.7837689133425034,0.8185458528614269,0.840933911862806,0.8026559906259154,0.8274802259887005,0.8056245696656019,22792,3817,6288,18308
0.42,0.8570514268503878,0.7828404401650619,0.8182667768951511,0.8411045755497754,0.8025192852260521,0.8283841807909604,0.8056123104780112,22765,3797,6315,18328
0.43,0.8574876494324396,0.7819119669876203,0.817957803478605,0.8412259152928642,0.8023435211405137,0.8291977401129943,0.8055548535503073,22738,3779,6342,18346
0.44,0.857936298031511,0.7808459422283356,0.8175779069976776,0.8413240655659957,0.8021091690264622,0.8300564971751413,0.8054512197017385,22707,3760,6373,18365
0.45,0.8583162994927701,0.7797455295735901,0.8171465638401384,0.8413604250771789,0.801816228883898,0.8308248587570621,0.8052851941653261,22675,3743,6405,18382
0.46,0.8587409935532803,0.7787138927097662,0.8167718665464382,0.8414461950059453,0.8015818767698467,0.831638418079096,0.8051761553944311,22645,3725,6435,18400
0.47000000000000003,0.8591897233201581,0.7774071526822558,0.8162550548815714,0.8414850217378356,0.8012303485987696,0.8325423728813559,0.8049747627818058,22607,3705,6473,18420
0.48,0.8595743060579523,0.7763067400275103,0.8158213324178306,0.8415217845107804,0.8009374084562054,0.8333107344632769,0.8048087372453936,22575,3688,6505,18437
0.49,0.8600854440036619,0.7753782668500687,0.8155381944444444,0.8416950367317685,0.8008007030563421,0.8342146892655368,0.8047964780578027,22548,3668,6532,18457
0.5,0.8603638031183124,0.7742090784044017,0.8150159281783956,0.8416322746575752,0.8004101161995899,0.8348474576271186,0.8045282680157602,22514,3654,6566,18471
0.51,0.8607614310311842,0.7735900962861073,0.8148510368559269,0.8417901511749738,0.800351528171077,0.8355254237288136,0.8045577600074605,22496,3639,6584,18486
0.52,0.8610749060798896,0.7724209078404402,0.8143421672769459,0.841752608226406,0.7999804706571624,0.8362033898305085,0.8043121488354743,22462,3624,6618,18501
0.53,0.8616359447004608,0.7715612104539202,0.8141146589259797,0.8419768838186731,0.7999023532858119,0.8371525423728814,0.8043568764134008,22437,3603,6643,18522
0.54,0.8618474204593545,0.7703576341127923,0.81353839449458,0.8418513062562005,0.7994531784005469,0.8376949152542373,0.8040262746835148,22402,3591,6678,18534
0.55,0.8621819583654587,0.7690852819807428,0.8129770992366412,0.8418021680216803,0.7990430622009569,0.8384180790960452,0.803751680538394,22365,3575,6715,18550
0.56,0.8624179219775975,0.7678129298486933,0.812370383845734,0.8416767189384802,0.7985743579728543,0.8390056497175141,0.8034092897831038,22328,3562,6752,18563
0.5700000000000001,0.8627375101582756,0.7666437414030262,0.8118570310081754,0.8416387303313098,0.7982033004589395,0.839683615819209,0.8031636786111176,22294,3547,6786,18578
0.58,0.8629898065966436,0.7656808803301238,0.8114283631858019,0.8415983792446555,0.7978908309735377,0.840225988700565,0.8029534345153444,22266,3535,6814,18590
